,buy_1,buy_2,buy_5,buy_7,buy_9,buy_10,buy_11,buy_12,buy_15,buy_16,buy_17,buy_19,buy_21,buy_27,buy_28,buy_29,buy_30,buy_31,buy_32,buy_34,buy_35,buy_38,buy_39,buy_48,buy_55,buy_56,buy_62,buy_63,buy_64,buy_109,buy_124,buy_161,buy_164,buy_165,buy_166,buy_198,buy_301
buy_1,1.0,0.031971007504925326,-0.005446043606442841,0.05156879309938299,-0.0145717466917551,0.04789600936638641,0.0440877583702063,-0.0015066498785262046,0.005238568865194636,-0.0003308793219593267,0.031204653505517738,0.02570896073660419,0.009900683003305436,0.019044534205751733,0.23694996018539857,-0.00995656615031616,-0.008323933711149131,0.022351992244462906,0.022351992244462906,0.037373138165446566,-0.0003308793219593246,0.011831640571393508,0.012323455027213524,-0.0003308793219593246,0.027655534594105496,0.025966556178929394,,-0.0011472437075766557,-0.002934662186806411,0.009752324793217481,-0.0014696247993370426,-0.0005403981595468071,0.02302355256244144,0.02302355256244144,0.005248879707898387,-0.0006889701851530746,0.03668585590013098
buy_2,0.031971007504925326,1.0,0.12771063257476448,0.25300368178121113,0.14381494643750287,0.20152631834305046,0.18581747204199733,0.07793429597201058,0.15353219717521308,-0.0015926318303381038,0.19708882761427415,0.16835446850243607,0.09502191019348676,0.15988572959025685,0.051913830883291,-0.01166940766798895,0.02937606122913283,0.09298155481641873,0.09298155481641873,0.147327201367347,-0.001592631830338098,0.061432500920370496,0.1138051088513981,-0.001592631830338098,0.1424175645261186,0.1195151884705526,,0.03510071198063272,0.0982616465347316,0.14182356312618843,0.016740197310615455,-0.0026011154304050902,0.026622194427679196,0.026622194427679196,0.039115019533518994,-0.003316241826570231,0.14261469532059257
buy_5,-0.005446043606442841,0.12771063257476448,1.0,0.33444742928848276,-0.11989065431298901,0.2852817726210555,0.2764211780022111,0.07152059175675544,0.13791477233271646,0.01843707176011862,0.2781247554300439,0.15031980551660915,0.14103144571435286,0.12657483272067546,0.10448714183798682,0.0037667008196844666,0.12195556899686422,0.17456107394052753,0.17456107394052753,0.10306562469806721,-0.002722346143361594,0.1294853969112511,0.14143528541225844,-0.002722346143361594,0.22444929569664693,0.19478147862653716,,0.21065635725344262,-0.024145257065364852,0.13875669331716123,-0.002534099438341281,0.09922765930619672,0.02029311836139116,0.02029311836139116,0.031242114588401655,-0.0056685782457967125,0.1718712122637635
buy_7,0.05156879309938299,0.25300368178121113,0.33444742928848276,1.0,0.5083338472879917,0.6517705062903123,0.44844359858060895,0.07464328892422638,0.2553947889944305,0.0072069064316079325,0.5152118933312737,0.2395709446444149,0.26299661475587166,0.26975726031418507,0.1168563480538865,0.057627756662382214,0.16825866992178728,0.32249832157188446,0.32249832157188446,0.258766551524832,-0.005173821747918505,0.2085488363372987,0.2616697589955188,-0.005173821747918505,0.3738535017718451,0.32886364544901536,,0.08580168723492844,0.2015337690878359,0.31359870074672885,-0.008999422733859865,0.021880667216761466,0.10042398101902647,0.10042398101902647,0.0768661942104531,-0.010773138999754765,0.30870025047120286
buy_9,-0.0145717466917551,0.14381494643750287,-0.11989065431298901,0.5083338472879917,1.0,0.5777850421704706,0.4396253001227686,0.0615453087678582,0.22247144164614094,0.012709917306662443,0.34423406506792825,0.13900668634505137,0.3833977857353511,0.19288566913924932,0.02650289950270669,0.1367583569265899,0.1674423486691144,0.4437692276679503,0.4437692276679503,0.22832836891248712,0.022706908715791774,0.20807243436043954,0.26294690513807767,0.022706908715791774,0.4069151437136236,0.33923657238900906,,-0.025255728506306026,0.20139398857838342,0.27593361322226573,0.01280224210162375,-0.011896469000166266,0.06494708104576874,0.06494708104576874,0.07966996553605331,-0.01516717313875766,0.3031195570910605
buy_10,0.04789600936638641,0.20152631834305046,0.2852817726210555,0.6517705062903123,0.5777850421704706,1.0,0.46761800323867714,0.0916957142452303,0.23098857228684355,0.006251013017754293,0.4731662748023688,0.2430585912341664,0.3050581784114759,0.2802800940948514,0.08625402950730629,0.054882897292568275,0.17434436695729674,0.3453493794299404,0.3453493794299404,0.28226827776534785,-0.005543019967693526,0.22596826859406363,0.2841676767573056,-0.005543019967693526,0.40377461423063493,0.367418044786958,,0.07619779735396427,0.16498502619957764,0.2942346540462039,-0.013965344352229939,0.01261704756963334,0.08443774874783916,0.08443774874783916,0.05188166583775034,0.016794264935457853,0.30916246450194923
buy_11,0.0440877583702063,0.18581747204199733,0.2764211780022111,0.44844359858060895,0.4396253001227686,0.46761800323867714,1.0,0.12587062488904815,0.1713222326045131,0.02764277727126921,0.7718202984015399,0.31901047658649706,0.3302819101487567,0.2161831355376714,0.11634786170647674,0.11198864901429686,0.14473999875428303,0.3855691637963736,0.3855691637963736,0.2417294605295594,0.016434041660770688,0.21863516405722688,0.2594622467623968,0.016434041660770688,0.4055881628406403,0.3823383137228747,,0.06345831060362277,0.12357146734663713,0.27972592952768416,0.044303674530101075,0.02455208837906674,0.073788575601591,0.073788575601591,0.04478022495527754,0.009085012561233997,0.27456082363886464
buy_12,-0.0015066498785262046,0.07793429597201058,0.07152059175675544,0.07464328892422638,0.0615453087678582,0.0916957142452303,0.12587062488904815,1.0,0.034596771318633784,0.07270211348525824,0.11557020564354897,0.10838315675732628,0.01623056481531037,0.08706901819184103,-0.0031699419009995323,-0.003019372395843597,0.013303114932519152,0.05087696333370691,0.05087696333370691,0.07092732987301485,-0.0007531380177253175,0.050778285582750556,0.053566989200283875,-0.0007531380177253175,0.05758581918331296,0.055986375235640456,,-0.0026113232058615613,0.0436503211998504,0.040003711950674356,0.02983354919971952,-0.0012300387834859082,0.006099773310365165,0.006099773310365165,0.0017773087487009528,-0.0015682141647455794,0.06064360583537225
buy_15,0.005238568865194636,0.15353219717521308,0.13791477233271646,0.2553947889944305,0.22247144164614094,0.23098857228684355,0.1713222326045131,0.034596771318633784,1.0,0.03987718251259699,0.1706619639783384,0.27985113137309786,0.15273098225421142,0.20191669567307033,0.013980653134448419,0.018676722479178683,0.10490253110780927,0.16994707533141354,0.16994707533141354,0.18554005789323277,-0.002704015201277981,0.12409198937446632,0.1901226508349842,-0.002704015201277981,0.19861032859750719,0.1652105993441902,,-0.00937551614433958,-0.023982674761149732,0.18244683669186385,0.007223224650961951,-0.00441624707613745,0.03998023229434358,0.03998023229434358,0.04153445480146785,0.03529156492148372,0.1414838616448307
buy_16,-0.0003308793219593267,-0.0015926318303381038,0.01843707176011862,0.0072069064316079325,0.012709917306662443,0.006251013017754293,0.02764277727126921,0.07270211348525824,0.03987718251259699,1.0,0.008859592782258055,-0.0019087767156296081,0.01353410669636478,-0.0034213159450845352,-0.0006961592350036753,0.007759392369785921,0.010476162309775303,0.011173223036843484,0.011173223036843484,0.01868193240863109,-0.00016539861065167037,-0.005682304203588799,0.0035674011591321554,-0.00016539861065167037,0.018388170985165247,0.020055726091549552,,-0.0005734795217435092,-0.0014669670064466635,-0.006145173743987155,-0.0007346300716231217,-0.00027013203562702295,-0.0011010526718943897,-0.0011010526718943897,-0.0027021764329800617,-0.00034439961593837865,-0.006234551355620218
buy_17,0.031204653505517738,0.19708882761427415,0.2781247554300439,0.5152118933312737,0.34423406506792825,0.4731662748023688,0.7718202984015399,0.11557020564354897,0.1706619639783384,0.008859592782258055,1.0,0.3357515146590385,0.24912919931386576,0.22674420588372102,0.1379008019970118,0.07728832597399833,0.12228735415408319,0.29691821309410493,0.29691821309410493,0.24028156238924725,-0.00461813238863863,0.18357592738382078,0.23055846640322783,-0.00461813238863863,0.3366694989821423,0.32847517975409735,,0.06576654137329609,0.11449086084722214,0.2650141118725974,0.028189762876395116,0.025475682561745882,0.08344728624550005,0.08344728624550005,0.033929429729813707,0.009812765470078474,0.2555127677928082
buy_19,0.02570896073660419,0.16835446850243607,0.15031980551660915,0.2395709446444149,0.13900668634505137,0.2430585912341664,0.31901047658649706,0.10838315675732628,0.27985113137309786,-0.0019087767156296081,0.3357515146590385,1.0,0.10145800771697408,0.24775289915639617,0.11152695508485347,7.82051308552781e-05,0.06084932658210633,0.12434398763343077,0.12434398763343077,0.19997072759442638,-0.0019087767156296077,0.13671002241864427,0.16483721545136137,-0.0019087767156296077,0.18068758486996098,0.16044672488574524,,0.12132415572519067,0.17859455729144985,0.18571341665411045,0.0048558430303615304,0.01496236010724836,0.0721518708640195,0.0721518708640195,0.03672482412182055,-0.003974531377167384,0.13789696206621954
buy_21,0.009900683003305436,0.09502191019348676,0.14103144571435286,0.26299661475587166,0.3833977857353511,0.3050581784114759,0.3302819101487567,0.01623056481531037,0.15273098225421142,0.01353410669636478,0.24912919931386576,0.10145800771697408,1.0,0.16620884954073625,0.005831670370031664,0.254422736824851,0.2289105540362524,0.8081687850182927,0.8081687850182927,0.27423055140676567,0.013534106696364758,0.2822102627281402,0.3577711500831818,0.013534106696364758,0.49674758397994295,0.46614121607349274,,0.03700410190469792,0.066116996496068,0.335130682394118,0.021335563433756685,0.0010723979475573406,0.043336979005648826,0.043336979005648826,0.13882309001664153,0.011680320088013701,0.34001094821415034
buy_27,0.019044534205751733,0.15988572959025685,0.12657483272067546,0.26975726031418507,0.19288566913924932,0.2802800940948514,0.2161831355376714,0.08706901819184103,0.20191669567307033,-0.0034213159450845352,0.22674420588372102,0.24775289915639617,0.16620884954073625,1.0,0.08426116564857151,-0.0007769598167277675,0.10104780594981043,0.23112120460579325,0.23112120460579325,0.43979455894284547,-0.0034213159450845387,0.23297693110652531,0.2940492001540575,-0.0034213159450845387,0.2835194045574329,0.25079587515283164,,0.10280657320728583,0.12335132121963757,0.362825644185676,-0.015196025939274554,-0.005587755768488632,0.12602766019711703,0.12602766019711703,0.1083935392300579,0.0343325027687522,0.280840203470791
buy_28,0.23694996018539857,0.051913830883291,0.10448714183798682,0.1168563480538865,0.02650289950270669,0.08625402950730629,0.11634786170647674,-0.0031699419009995323,0.013980653134448419,-0.0006961592350036753,0.1379008019970118,0.11152695508485347,0.005831670370031664,0.08426116564857151,1.0,-0.005776381102586288,0.01735873234294042,0.04290205084072245,0.04290205084072245,0.07767622673730853,-0.0006961592350036746,0.03410283273917377,0.03066398788364303,-0.0006961592350036746,0.06434774133874158,0.05069939719364056,,0.020535962576075102,0.07545918038101951,0.05289948918529999,-0.0030920423494299656,-0.001136979993551073,0.17562077076600638,0.17562077076600638,0.003853152643271218,-0.00144957065976901,0.06222470852111028
buy_29,-0.00995656615031616,-0.01166940766798895,0.0037667008196844666,0.057627756662382214,0.1367583569265899,0.054882897292568275,0.11198864901429686,-0.003019372395843597,0.018676722479178683,0.007759392369785921,0.07728832597399833,7.82051308552781e-05,0.254422736824851,-0.0007769598167277675,-0.005776381102586288,1.0,-0.12520763125258222,0.33621603677078554,0.33621603677078554,0.07793200106531815,-0.0049770478202508855,0.0846391039600554,0.08925387613301909,-0.0049770478202508855,0.04351690665520034,0.09603610661406216,,0.012183637704127722,0.014035570336182883,0.06137026956090305,-0.022105923273821864,-0.008128605517302889,-0.010008567803250615,-0.010008567803250615,0.056232453793258995,-0.010363408441266948,-0.1876053257791887
buy_30,-0.008323933711149131,0.02937606122913283,0.12195556899686422,0.16825866992178728,0.1674423486691144,0.17434436695729674,0.14473999875428303,0.013303114932519152,0.10490253110780927,0.010476162309775303,0.12228735415408319,0.06084932658210633,0.2289105540362524,0.10104780594981043,0.01735873234294042,-0.12520763125258222,1.0,0.2810848600264077,0.2810848600264077,0.1424261404687899,-0.0041609341521496365,0.15336966937486063,0.17625917003685168,-0.0041609341521496365,0.30670293640777,0.24111052782495496,,0.006719045285999362,0.036641901953846895,0.1366702278828542,-0.018481094503570442,0.038027236780165355,0.012162067331987911,0.012162067331987911,0.038648407574718525,-0.00866406385337277,-0.15684265760589755
buy_31,0.022351992244462906,0.09298155481641873,0.17456107394052753,0.32249832157188446,0.4437692276679503,0.3453493794299404,0.3855691637963736,0.05087696333370691,0.16994707533141354,0.011173223036843484,0.29691821309410493,0.12434398763343077,0.8081687850182927,0.23112120460579325,0.04290205084072245,0.33621603677078554,0.2810848600264077,1.0,1.0,0.36376684949905225,0.011173223036843484,0.37572633532909866,0.4520763099228308,0.011173223036843484,0.6076310170194492,0.5571088768285195,,0.0362385857425608,0.08822161681431055,0.41512680530505836,0.049626690378335975,0.01824831219298271,0.07437974859593653,0.07437974859593653,0.1825409527421775,0.01494394946448446,0.4211645584962248
buy_32,0.022351992244462906,0.09298155481641873,0.17456107394052753,0.32249832157188446,0.4437692276679503,0.3453493794299404,0.3855691637963736,0.05087696333370691,0.16994707533141354,0.011173223036843484,0.29691821309410493,0.12434398763343077,0.8081687850182927,0.23112120460579325,0.04290205084072245,0.33621603677078554,0.2810848600264077,1.0,1.0,0.36376684949905225,0.011173223036843484,0.37572633532909866,0.4520763099228308,0.011173223036843484,0.6076310170194492,0.5571088768285195,,0.0362385857425608,0.08822161681431055,0.41512680530505836,0.049626690378335975,0.01824831219298271,0.07437974859593653,0.07437974859593653,0.1825409527421775,0.01494394946448446,0.4211645584962248
buy_34,0.037373138165446566,0.147327201367347,0.10306562469806721,0.258766551524832,0.22832836891248712,0.28226827776534785,0.2417294605295594,0.07092732987301485,0.18554005789323277,0.01868193240863109,0.24028156238924725,0.19997072759442638,0.27423055140676567,0.43979455894284547,0.07767622673730853,0.07793200106531815,0.1424261404687899,0.36376684949905225,0.36376684949905225,1.0,-0.005384885928606325,0.24613099825073376,0.3564704864955623,-0.005384885928606325,0.4303118083956399,0.3985852078136768,,0.06129815406804162,0.10752186613179392,0.3886210995792509,0.038588763420043436,0.005945193761307031,0.09159433298626067,0.09159433298626067,0.11041351880874135,0.02348091649017531,0.29094950065677677
buy_35,-0.0003308793219593246,-0.001592631830338098,-0.002722346143361594,-0.005173821747918505,0.022706908715791774,-0.005543019967693526,0.016434041660770688,-0.0007531380177253175,-0.002704015201277981,-0.00016539861065167037,-0.00461813238863863,-0.0019087767156296077,0.013534106696364758,-0.0034213159450845387,-0.0006961592350036746,-0.0049770478202508855,-0.0041609341521496365,0.011173223036843484,0.011173223036843484,-0.005384885928606325,1.0,-0.005682304203588809,0.003567401159132139,1.0,0.018388170985165177,0.02005572609154944,,-0.0005734795217435112,-0.0014669670064466614,-0.0061451737439871855,-0.0007346300716231182,-0.0002701320356270228,-0.0011010526718943908,-0.0011010526718943908,-0.0027021764329800604,-0.00034439961593837903,-0.006234551355620212
buy_38,0.011831640571393508,0.061432500920370496,0.1294853969112511,0.2085488363372987,0.20807243436043954,0.22596826859406363,0.21863516405722688,0.050778285582750556,0.12409198937446632,-0.005682304203588799,0.18357592738382078,0.13671002241864427,0.2822102627281402,0.23297693110652531,0.03410283273917377,0.0846391039600554,0.15336966937486063,0.37572633532909866,0.37572633532909866,0.24613099825073376,-0.005682304203588809,1.0,0.7742002760186342,-0.005682304203588809,0.2993082201228137,0.26404870693833443,,0.037260160449628175,0.12440973562115361,0.2772391643376769,-0.0226193508523134,0.026231816183550423,0.08147992323256856,0.08147992323256856,0.11317474745234618,0.0271748081595826,0.26750980802070445
buy_39,0.012323455027213524,0.1138051088513981,0.14143528541225844,0.2616697589955188,0.26294690513807767,0.2841676767573056,0.2594622467623968,0.053566989200283875,0.1901226508349842,0.0035674011591321554,0.23055846640322783,0.16483721545136137,0.3577711500831818,0.2940492001540575,0.03066398788364303,0.08925387613301909,0.17625917003685168,0.4520763099228308,0.4520763099228308,0.3564704864955623,0.003567401159132139,0.7742002760186342,1.0,0.003567401159132139,0.4017600783892754,0.3703998872406093,,0.05432194348037824,0.12204615942275308,0.327948919046425,-0.011481465393412979,0.020647459566986617,0.09278870463848311,0.09278870463848311,0.13007761082376512,0.02570113781489312,0.3584748227722123
buy_48,-0.0003308793219593246,-0.001592631830338098,-0.002722346143361594,-0.005173821747918505,0.022706908715791774,-0.005543019967693526,0.016434041660770688,-0.0007531380177253175,-0.002704015201277981,-0.00016539861065167037,-0.00461813238863863,-0.0019087767156296077,0.013534106696364758,-0.0034213159450845387,-0.0006961592350036746,-0.0049770478202508855,-0.0041609341521496365,0.011173223036843484,0.011173223036843484,-0.005384885928606325,1.0,-0.005682304203588809,0.003567401159132139,1.0,0.018388170985165177,0.02005572609154944,,-0.0005734795217435112,-0.0014669670064466614,-0.0061451737439871855,-0.0007346300716231182,-0.0002701320356270228,-0.0011010526718943908,-0.0011010526718943908,-0.0027021764329800604,-0.00034439961593837903,-0.006234551355620212
buy_55,0.027655534594105496,0.1424175645261186,0.22444929569664693,0.3738535017718451,0.4069151437136236,0.40377461423063493,0.4055881628406403,0.05758581918331296,0.19861032859750719,0.018388170985165247,0.3366694989821423,0.18068758486996098,0.49674758397994295,0.2835194045574329,0.06434774133874158,0.04351690665520034,0.30670293640777,0.6076310170194492,0.6076310170194492,0.4303118083956399,0.018388170985165177,0.2993082201228137,0.4017600783892754,0.018388170985165177,1.0,0.6864549798633777,,0.05584452360203114,0.10888766367657877,0.4620323772880455,0.04456689327151868,0.03003189712482794,0.09479004996118011,0.09479004996118011,0.15809691987789914,0.011972587599147521,0.4715601145683902
buy_56,0.025966556178929394,0.1195151884705526,0.19478147862653716,0.32886364544901536,0.33923657238900906,0.367418044786958,0.3823383137228747,0.055986375235640456,0.1652105993441902,0.020055726091549552,0.32847517975409735,0.16044672488574524,0.46614121607349274,0.25079587515283164,0.05069939719364056,0.09603610661406216,0.24111052782495496,0.5571088768285195,0.5571088768285195,0.3985852078136768,0.02005572609154944,0.26404870693833443,0.3703998872406093,0.02005572609154944,0.6864549798633777,1.0,,0.0531829164426073,0.07984030951041465,0.37279891851425223,0.04646595518244912,0.00964315288889321,0.05643346938285894,0.05643346938285894,-0.13473341332272334,0.010027698611804954,0.35174384126877495
buy_62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buy_63,-0.0011472437075766557,0.03510071198063272,0.21065635725344262,0.08580168723492844,-0.025255728506306026,0.07619779735396427,0.06345831060362277,-0.0026113232058615613,-0.00937551614433958,-0.0005734795217435092,0.06576654137329609,0.12132415572519067,0.03700410190469792,0.10280657320728583,0.020535962576075102,0.012183637704127722,0.006719045285999362,0.0362385857425608,0.0362385857425608,0.06129815406804162,-0.0005734795217435112,0.037260160449628175,0.05432194348037824,-0.0005734795217435112,0.05584452360203114,0.0531829164426073,,1.0,-0.005086351898337682,0.05829646022546135,-0.002547151396695069,-0.0009366172423614701,0.010756373199789032,0.010756373199789032,0.021408343900159662,-0.0011941220440656332,0.04780596772769115
buy_64,-0.002934662186806411,0.0982616465347316,-0.024145257065364852,0.2015337690878359,0.20139398857838342,0.16498502619957764,0.12357146734663713,0.0436503211998504,-0.023982674761149732,-0.0014669670064466635,0.11449086084722214,0.17859455729144985,0.066116996496068,0.12335132121963757,0.07545918038101951,0.014035570336182883,0.036641901953846895,0.08822161681431055,0.08822161681431055,0.10752186613179392,-0.0014669670064466614,0.12440973562115361,0.12204615942275308,-0.0014669670064466614,0.10888766367657877,0.07984030951041465,,-0.005086351898337682,1.0,0.11161381110035942,-0.006515641653630688,-0.002395877341942566,0.0651153962389384,0.0651153962389384,0.04172009927259694,-0.0030545774938733144,0.09935399260900903
buy_109,0.009752324793217481,0.14182356312618843,0.13875669331716123,0.31359870074672885,0.27593361322226573,0.2942346540462039,0.27972592952768416,0.040003711950674356,0.18244683669186385,-0.006145173743987155,0.2650141118725974,0.18571341665411045,0.335130682394118,0.362825644185676,0.05289948918529999,0.06137026956090305,0.1366702278828542,0.41512680530505836,0.41512680530505836,0.3886210995792509,-0.0061451737439871855,0.2772391643376769,0.327948919046425,-0.0061451737439871855,0.4620323772880455,0.37279891851425223,,0.05829646022546135,0.11161381110035942,1.0,-0.027294240319764324,0.010211645501776966,0.09247468511154985,0.09247468511154985,0.1700158236023308,0.01897641700648258,0.40408888290716405
buy_124,-0.0014696247993370426,0.016740197310615455,-0.002534099438341281,-0.008999422733859865,0.01280224210162375,-0.013965344352229939,0.044303674530101075,0.02983354919971952,0.007223224650961951,-0.0007346300716231217,0.028189762876395116,0.0048558430303615304,0.021335563433756685,-0.015196025939274554,-0.0030920423494299656,-0.022105923273821864,-0.018481094503570442,0.049626690378335975,0.049626690378335975,0.038588763420043436,-0.0007346300716231182,-0.0226193508523134,-0.011481465393412979,-0.0007346300716231182,0.04456689327151868,0.04646595518244912,,-0.002547151396695069,-0.006515641653630688,-0.027294240319764324,1.0,-0.0011998112674495654,-0.004890406273835459,-0.004890406273835459,-0.012001915002049548,-0.0015296761776108063,-0.027691217543314137
buy_161,-0.0005403981595468071,-0.0026011154304050902,0.09922765930619672,0.021880667216761466,-0.011896469000166266,0.01261704756963334,0.02455208837906674,-0.0012300387834859082,-0.00441624707613745,-0.00027013203562702295,0.025475682561745882,0.01496236010724836,0.0010723979475573406,-0.005587755768488632,-0.001136979993551073,-0.008128605517302889,0.038027236780165355,0.01824831219298271,0.01824831219298271,0.005945193761307031,-0.0002701320356270228,0.026231816183550423,0.020647459566986617,-0.0002701320356270228,0.03003189712482794,0.00964315288889321,,-0.0009366172423614701,-0.002395877341942566,0.010211645501776966,-0.0011998112674495654,1.0,0.09087851062374146,0.09087851062374146,0.034729842143476866,-0.0005624797509244317,0.009884094321930586
buy_164,0.02302355256244144,0.026622194427679196,0.02029311836139116,0.10042398101902647,0.06494708104576874,0.08443774874783916,0.073788575601591,0.006099773310365165,0.03998023229434358,-0.0011010526718943897,0.08344728624550005,0.0721518708640195,0.043336979005648826,0.12602766019711703,0.17562077076600638,-0.010008567803250615,0.012162067331987911,0.07437974859593653,0.07437974859593653,0.09159433298626067,-0.0011010526718943908,0.08147992323256856,0.09278870463848311,-0.0011010526718943908,0.09479004996118011,0.05643346938285894,,0.010756373199789032,0.0651153962389384,0.09247468511154985,-0.004890406273835459,0.09087851062374146,1.0,1.0,0.08192966831444179,-0.002292656001367213,0.11877325195757601
buy_165,0.02302355256244144,0.026622194427679196,0.02029311836139116,0.10042398101902647,0.06494708104576874,0.08443774874783916,0.073788575601591,0.006099773310365165,0.03998023229434358,-0.0011010526718943897,0.08344728624550005,0.0721518708640195,0.043336979005648826,0.12602766019711703,0.17562077076600638,-0.010008567803250615,0.012162067331987911,0.07437974859593653,0.07437974859593653,0.09159433298626067,-0.0011010526718943908,0.08147992323256856,0.09278870463848311,-0.0011010526718943908,0.09479004996118011,0.05643346938285894,,0.010756373199789032,0.0651153962389384,0.09247468511154985,-0.004890406273835459,0.09087851062374146,1.0,1.0,0.08192966831444179,-0.002292656001367213,0.11877325195757601
buy_166,0.005248879707898387,0.039115019533518994,0.031242114588401655,0.0768661942104531,0.07966996553605331,0.05188166583775034,0.04478022495527754,0.0017773087487009528,0.04153445480146785,-0.0027021764329800617,0.033929429729813707,0.03672482412182055,0.13882309001664153,0.1083935392300579,0.003853152643271218,0.056232453793258995,0.038648407574718525,0.1825409527421775,0.1825409527421775,0.11041351880874135,-0.0027021764329800604,0.11317474745234618,0.13007761082376512,-0.0027021764329800604,0.15809691987789914,-0.13473341332272334,,0.021408343900159662,0.04172009927259694,0.1700158236023308,-0.012001915002049548,0.034729842143476866,0.08192966831444179,0.08192966831444179,1.0,0.004610285742968221,0.14100690500323876
buy_198,-0.0006889701851530746,-0.003316241826570231,-0.0056685782457967125,-0.010773138999754765,-0.01516717313875766,0.016794264935457853,0.009085012561233997,-0.0015682141647455794,0.03529156492148372,-0.00034439961593837865,0.009812765470078474,-0.003974531377167384,0.011680320088013701,0.0343325027687522,-0.00144957065976901,-0.010363408441266948,-0.00866406385337277,0.01494394946448446,0.01494394946448446,0.02348091649017531,-0.00034439961593837903,0.0271748081595826,0.02570113781489312,-0.00034439961593837903,0.011972587599147521,0.010027698611804954,,-0.0011941220440656332,-0.0030545774938733144,0.01897641700648258,-0.0015296761776108063,-0.0005624797509244317,-0.002292656001367213,-0.002292656001367213,0.004610285742968221,1.0,0.03949687017493025
buy_301,0.03668585590013098,0.14261469532059257,0.1718712122637635,0.30870025047120286,0.3031195570910605,0.30916246450194923,0.27456082363886464,0.06064360583537225,0.1414838616448307,-0.006234551355620218,0.2555127677928082,0.13789696206621954,0.34001094821415034,0.280840203470791,0.06222470852111028,-0.1876053257791887,-0.15684265760589755,0.4211645584962248,0.4211645584962248,0.29094950065677677,-0.006234551355620212,0.26750980802070445,0.3584748227722123,-0.006234551355620212,0.4715601145683902,0.35174384126877495,,0.04780596772769115,0.09935399260900903,0.40408888290716405,-0.027691217543314137,0.009884094321930586,0.11877325195757601,0.11877325195757601,0.14100690500323876,0.03949687017493025,1.0
